PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A2044402338,ELECTRICAL WIRING HARNESS,22290,1PV541,2.25,0,0
A2044402354,ELECTRICAL WIRING HARNESS,57834,1PV541,2.25,0.335,0.0338
A2044402405,WIRING HARNESS,2105568,1PV541,2.25,17,2.58803875
A204440240564,WIRING HARNESS,1345326,1PV541,2.25,17,2.52
A2044402407,ELECTRICAL WIRING HARNESS,35544,1PV541,2.25,0.47,0.021
A2044402410,ELECTRICAL WIRING HARNESS,24330,1PV541,2.25,0.458,0.0348
A2044402413,ELECTRICAL WIRING HARNESS,131646,1PV541,2.25,0.816,0.049335
A2044402433,ELECTRICAL WIRING HARNESS,35544,1PV541,2.25,0.751,0.0192
A2044402435,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0,0
A2044402438,ELECTRICAL WIRING HARNESS,29934,1PV541,2.25,0.469,0.01575
A2044402439,ELECTRICAL WIRING HARNESS,437130,1PV541,2.25,3.15,0.2178
A2044402441,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.502,0.03864
A2044402453,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044402454,ELECTRICAL WIRING HARNESS,78810,1PV541,2.25,1.583,0.12546
A2044402505,WIRING HARNESS,23400,1PV541,2.25,0.025,0.0018
A204440250505,WIRING HARNESS,23400,1PV541,2.25,0.025,0.0018
A2044402507,ELECTRICAL WIRING HARNESS,22290,1PV541,2.25,0,0
A2044402510,ELECTRICAL WIRING HARNESS,22740,1PV541,2.25,0.14,0.01615
A2044402513,ELECTRICAL WIRING HARNESS,69696,1PV541,2.25,0.88,0.1295
A2044402533,ELECTRICAL WIRING HARNESS,35544,1PV541,2.25,0.751,0.02304
A2044402535,ELECTRICAL WIRING HARNESS,38358,1PV541,2.25,0.473,0.03915
A2044402539,ELECTRICAL WIRING HARNESS,15348,1PV541,2.25,0.376,0.02646
A2044402541,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.514,0.039
A2044402553,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044402554,ELECTRICAL WIRING HARNESS,56160,1PV541,2.25,1.773,0.2262
A2044402605,WIRING HARNESS,10746,1PV541,2.25,0.045,0.00507
